Question ID,Question,Ideal Answer,Download Link,PDF Reference
1,Is Hirschsprung disease a mendelian or a multifactorial disorder?,"Coding sequence mutations in RET, GDNF, EDNRB, EDN3, and SOX10 are involved in the development of Hirschsprung disease. The majority of these genes was shown to be related to Mendelian syndromic forms of Hirschsprung's disease, whereas the non-Mendelian inheritance of sporadic non-syndromic Hirschsprung disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model.",https://bmcmedgenet.biomedcentral.com/counter/pdf/10.1186/1471-2350-12-138,10.1186_1471-2350-12-138.pdf
2,List signaling molecules (ligands) that interact with the receptor EGFR?,"The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",https://aacrjournals.org/clincancerres/article-pdf/19/18/5027/2013501/5027.pdf,10.1158_1078-0432.CCR-13-1275.pdf
2,List signaling molecules (ligands) that interact with the receptor EGFR?,"The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0076906&type=printable,10.1371_journal.pone.0076906.pdf
2,List signaling molecules (ligands) that interact with the receptor EGFR?,"The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0054136&type=printable,10.1371_journal.pone.0054136.pdf
2,List signaling molecules (ligands) that interact with the receptor EGFR?,"The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0075907&type=printable,10.1371_journal.pone.0075907.pdf
4,Are long non coding RNAs spliced?,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,https://genome.cshlp.org/content/22/9/1775.full.pdf,10.1101_gr.132159.111.pdf
4,Are long non coding RNAs spliced?,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,https://genome.cshlp.org/content/22/9/1616.full.pdf,10.1101_gr.134445.111.pdf
4,Are long non coding RNAs spliced?,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,https://genome.cshlp.org/content/22/12/2529.full.pdf,10.1101_gr.140475.112.pdf
4,Are long non coding RNAs spliced?,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2013.00168/pdf,10.3389_fncel.2013.00168.pdf
5,Is RANKL secreted from the cells?,Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.,http://www.spandidos-publications.com/10.3892/mmr.2013.1572/download,10.3892_mmr.2013.1572.pdf
5,Is RANKL secreted from the cells?,Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.,http://koreascience.or.kr:80/article/JAKO201319953222618.pdf,10.4062_biomolther.2013.037.pdf
5,Is RANKL secreted from the cells?,Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.,https://ovarianresearch.biomedcentral.com/counter/pdf/10.1186/1757-2215-6-82,10.1186_1757-2215-6-82.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",http://www.spandidos-publications.com/10.3892/or.2012.1625/download,10.3892_or.2012.1625.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",https://aacrjournals.org/cancerres/article-pdf/68/24/10307/2599624/10307.pdf,10.1158_0008-5472.CAN-08-1954.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",http://www.spandidos-publications.com/10.3892/or.2011.1482/download,10.3892_or.2011.1482.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",https://cancerci.biomedcentral.com/counter/pdf/10.1186/1475-2867-13-86,10.1186_1475-2867-13-86.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",https://bmccancer.biomedcentral.com/counter/pdf/10.1186/1471-2407-12-627,10.1186_1471-2407-12-627.pdf
7,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",http://koreascience.or.kr:80/article/JAKO201321251180315.pdf,10.7314_apjcp.2013.14.2.1057.pdf
8,Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?,Pyridostigmine and neostygmine are acetylcholinesterase inhibitors that are used as first-line therapy for symptomatic treatment of myasthenia gravis. Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Extended release pyridotsygmine and novel acetylcholinesterase inhibitors inhibitors with oral antisense oligonucleotides are being studied.,https://www.dovepress.com/article/download/7931,10.2147_TCRM.S14015.pdf
9,Has Denosumab (Prolia) been approved by FDA?,"Yes, Denosumab was approved by the FDA in 2010.",https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2012.00085/pdf,10.3389_fendo.2012.00085.pdf
13,Which are the different isoforms of the mammalian Notch receptor?,"Notch signaling is an evolutionarily conserved mechanism, used to regulate cell fate decisions. Four Notch receptors have been identified in man: Notch-1, Notch-2, Notch-3 and Notch-4.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0044964&type=printable,10.1371_journal.pone.0044964.pdf
15,Orteronel was developed for treatment of which cancer?,Orteronel was developed for treatment of castration-resistant prostate cancer.,https://aacrjournals.org/clincancerres/article-pdf/20/5/1335/2022376/1335.pdf,10.1158_1078-0432.CCR-13-2436.pdf
15,Orteronel was developed for treatment of which cancer?,Orteronel was developed for treatment of castration-resistant prostate cancer.,https://link.springer.com/content/pdf/10.1007/s00280-014-2654-y.pdf,10.1007_s00280-014-2654-y.pdf
15,Orteronel was developed for treatment of which cancer?,Orteronel was developed for treatment of castration-resistant prostate cancer.,https://www.pagepressjournals.org/aiua/article/download/aiua.2015.2.121/4785,10.4081_aiua.2015.2.121.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",https://aacrjournals.org/cancerres/article-pdf/67/1/269/2567518/269.pdf,10.1158_0008-5472.CAN-06-2731.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",http://www.spandidos-publications.com/10.3892/ijo.2012.1357/download,10.3892_ijo.2012.1357.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",https://www.nature.com/articles/6603553.pdf,10.1038_sj.bjc.6603553.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",https://aacrjournals.org/clincancerres/article-pdf/17/19/6218/1999208/6218.pdf,10.1158_1078-0432.CCR-11-1548.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",http://www.spandidos-publications.com/10.3892/etm.2011.217/download,10.3892_etm.2011.217.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",http://www.spandidos-publications.com/10.3892/ol.2012.996/download,10.3892_ol.2012.996.pdf
16,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.",http://www.spandidos-publications.com/10.3892/or.2012.1760/download,10.3892_or.2012.1760.pdf
17,Which are the Yamanaka factors?,"The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors",http://www.spandidos-publications.com/10.3892/ijo.2013.1916/download,10.3892_ijo.2013.1916.pdf
17,Which are the Yamanaka factors?,"The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors",https://www.nature.com/articles/leu2013304.pdf,10.1038_leu.2013.304.pdf
17,Which are the Yamanaka factors?,"The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors",https://www.nature.com/articles/cr2008309.pdf,10.1038_cr.2008.309.pdf
17,Which are the Yamanaka factors?,"The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0064496&type=printable,10.1371_journal.pone.0064496.pdf
