model,dataset,settings,Accuracy@1,Accuracy@1_After_Rerank,Accuracy@2,Accuracy@2_After_Rerank,Accuracy@3,Accuracy@3_After_Rerank,Accuracy@4,Accuracy@4_After_Rerank,Accuracy@5,Accuracy@5_After_Rerank,Accuracy@6,Accuracy@6_After_Rerank,Accuracy@7,Accuracy@7_After_Rerank,Accuracy@8,Accuracy@8_After_Rerank,Accuracy@9,Accuracy@9_After_Rerank,Accuracy@10,Accuracy@10_After_Rerank
nvidia/NV-Embed-v2,HuggingFace QA Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",0.91,0.97,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
dunzhang/stella_en_1.5B_v5,HuggingFace QA Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True}}",0.95,0.95,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.98,1.0,0.98,1.0,0.98,1.0,0.98,1.0,1.0,1.0,1.0
dunzhang/stella_en_1.5B_v5,HuggingFace QA Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True}}",0.88,0.77,0.91,0.77,0.91,0.77,0.91,0.77,0.92,0.78,0.94,0.78,0.94,0.78,0.94,0.78,0.94,0.82,0.94,0.82
sentence-transformers/all-MiniLM-L6-v2,HuggingFace QA Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100}",0.58,0.88,0.66,0.89,0.72,0.89,0.74,0.89,0.77,0.91,0.8,0.91,0.8,0.91,0.82,0.91,0.83,0.91,0.83,0.91
mixedbread-ai/mxbai-embed-large-v1,HuggingFace QA Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100}",0.95,0.92,0.95,0.97,0.95,0.97,0.95,0.98,0.95,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
amazon.titan-embed-text-v2:0,HuggingFace QA Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",0.89,0.92,0.91,0.95,0.95,0.95,0.97,0.95,0.98,0.95,0.98,0.95,0.98,0.95,0.98,0.97,0.98,0.98,0.98,0.98
nvidia/NV-Embed-v2,PubMed filtered Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",1.0,1.0,0.85,0.81,0.79,0.74,0.76,0.77,0.77,0.78,0.76,0.81,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.82
dunzhang/stella_en_1.5B_v5,PubMed filtered Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True}}",1.0,1.0,0.73,0.85,0.72,0.72,0.71,0.67,0.72,0.73,0.72,0.77,0.74,0.79,0.75,0.79,0.76,0.79,0.79,0.79
dunzhang/stella_en_1.5B_v5,PubMed filtered Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True}}",0.31,0.92,0.42,0.81,0.64,0.72,0.66,0.67,0.68,0.68,0.7,0.68,0.74,0.69,0.74,0.7,0.74,0.7,0.78,0.72
sentence-transformers/all-MiniLM-L6-v2,PubMed filtered Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100}",0.62,0.85,0.58,0.77,0.51,0.72,0.47,0.67,0.57,0.69,0.55,0.69,0.54,0.72,0.57,0.72,0.61,0.73,0.61,0.73
mixedbread-ai/mxbai-embed-large-v1,PubMed filtered Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100}",1.0,1.0,0.92,0.88,0.77,0.77,0.7,0.73,0.74,0.74,0.77,0.76,0.77,0.8,0.79,0.82,0.79,0.82,0.79,0.82
amazon.titan-embed-text-v2:0,PubMed filtered Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",1.0,1.0,0.81,0.85,0.69,0.74,0.67,0.71,0.69,0.73,0.67,0.72,0.67,0.75,0.68,0.77,0.7,0.78,0.73,0.79
