model,dataset,settings,Accuracy@1,Accuracy@2,Accuracy@3,Accuracy@4,Accuracy@5,Accuracy@6,Accuracy@7,Accuracy@8,Accuracy@9,Accuracy@10
sentence-transformers/all-MiniLM-L6-v2,HuggingFace QA Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:'}",0.57,0.72,0.74,0.74,0.77,0.8,0.82,0.82,0.83,0.83
mixedbread-ai/mxbai-embed-large-v1,HuggingFace QA Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:'}",0.43,0.6,0.69,0.75,0.78,0.8,0.8,0.8,0.82,0.82
nvidia/NV-Embed-v2,HuggingFace QA Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",0.91,0.94,0.98,0.98,0.98,0.98,1.0,1.0,1.0,1.0
dunzhang/stella_en_1.5B_v5,HuggingFace QA Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True}}",0.95,0.98,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0
dunzhang/stella_en_1.5B_v5,HuggingFace QA Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'query_instruction': 'Instruct: Given a web search query, retrieve relevant passages that answer the query.\nQuery:', 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True}}",0.88,0.91,0.91,0.91,0.92,0.94,0.94,0.94,0.94,0.94
amazon.titan-embed-text-v2:0,HuggingFace QA Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'query_instruction': 'Instruct: Given a question, retrieve passages that answer the question.\nQuery:', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",0.85,0.94,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sentence-transformers/all-MiniLM-L6-v2,HuggingFace QA Dataset,"{'name': 'sentence-transformers/all-MiniLM-L6-v2', 'batch_size': 100}",0.58,0.66,0.72,0.74,0.77,0.8,0.8,0.82,0.83,0.83
mixedbread-ai/mxbai-embed-large-v1,HuggingFace QA Dataset,"{'name': 'mixedbread-ai/mxbai-embed-large-v1', 'batch_size': 100}",0.95,0.95,0.95,0.95,0.95,0.97,0.98,0.98,0.98,0.98
nvidia/NV-Embed-v2,HuggingFace QA Dataset,"{'name': 'nvidia/NV-Embed-v2', 'batch_size': 2, 'model_kwargs': {'trust_remote_code': True, 'load_in_8bit': True, 'max_length': 32768}}",0.89,0.92,0.94,0.95,0.97,0.98,1.0,1.0,1.0,1.0
dunzhang/stella_en_1.5B_v5,HuggingFace QA Dataset,"{'name': 'dunzhang/stella_en_1.5B_v5', 'batch_size': 2, 'model_kwargs': {'trust_remote_code': True}}",0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
amazon.titan-embed-text-v2:0,HuggingFace QA Dataset,"{'name': 'amazon.titan-embed-text-v2:0', 'model_kwargs': {'aws': True, 'aws_creds_file': '/home/ubuntu/Multi-Agent-LLM-System-with-LangGraph-RAG-and-LangChain/config/config.ini', 'aws_config_name': 'BedRock_LLM_API'}}",0.89,0.91,0.95,0.97,0.98,0.98,0.98,0.98,0.98,0.98
